NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Trey Lyles,Sac,F,58,20,0.7,0.578,0.384,0.576,7.2,4.4,1.2,0.3,0.3,0.7
Jonathan Isaac,Orl,F,58,15.8,0.72,0.598,0.375,0.584,6.8,4.5,0.5,0.7,1.2,0.5
Justin Holiday,Den,F-G,58,14.9,0.75,0.569,0.404,0.595,4,1.2,1.2,0.6,0.2,0.2
KJ Martin,Phi,F,58,12.3,0.538,0.581,0.304,0.564,3.7,2.2,0.9,0.3,0.2,0.5
Zeke Nnaji,Den,F-C,58,9.9,0.677,0.5,0.261,0.483,3.2,2.2,0.6,0.3,0.7,0.5
Kristaps Porzingis,Bos,C,57,29.6,0.858,0.606,0.375,0.589,20.1,7.2,2,0.7,1.9,1.6
Darius Garland,Cle,G,57,33.3,0.834,0.501,0.371,0.524,18,2.7,6.5,1.3,0.1,3.1
De'Andre Hunter,Atl,F,57,29.5,0.847,0.521,0.385,0.547,15.6,3.9,1.5,0.7,0.3,1.5
Trey Murphy III,Nor,F,57,29.7,0.815,0.602,0.38,0.579,14.8,4.9,2.2,0.9,0.5,0.6
Josh Green,Dal,G,57,26.4,0.684,0.572,0.385,0.575,8.2,3.2,2.3,0.8,0.2,1.1
Nicolas Batum,Phi,G-F,57,25.9,0.714,0.6,0.399,0.599,5.5,4.2,2.2,0.8,0.6,0.7
Keon Ellis,Sac,G,57,17.2,0.743,0.578,0.417,0.612,5.4,2.2,1.5,0.9,0.5,0.6
Mo Bamba,Phi,C,57,13,0.68,0.537,0.391,0.553,4.4,4.2,0.7,0.4,1.1,0.7
Ben Sheppard,Ind,G,57,14.3,0.885,0.562,0.314,0.5,4.4,1.6,0.9,0.6,0,0.3
Andre Jackson Jr.,Mil,G,57,10,0.727,0.611,0.37,0.585,2.2,2,0.9,0.3,0.1,0.5
Jalen Johnson,Atl,F,56,33.7,0.728,0.574,0.355,0.562,16,8.7,3.6,1.2,0.8,1.8
Jose Alvarado,Nor,G,56,18.4,0.673,0.464,0.377,0.525,7.1,2.3,2.1,1.1,0.3,0.7
Dennis Smith Jr.,Bro,G,56,18.9,0.741,0.502,0.294,0.482,6.6,2.9,3.6,1.2,0.2,1.2
Jock Landale,Hou,C,56,13.6,0.8,0.578,0.25,0.539,4.9,3.1,1.2,0.4,0.6,0.6
AJ Green,Mil,G,56,11,0.895,0.519,0.408,0.599,4.5,1.1,0.5,0.2,0.1,0.2
Jordan McLaughlin,Min,G,56,11.2,0.722,0.5,0.472,0.628,3.5,1.3,2,0.6,0.1,0.3
Donovan Mitchell,Cle,G,55,35.3,0.868,0.539,0.368,0.545,26.6,5.1,6.1,1.8,0.5,2.8
Lauri Markkanen,Uta,F,55,33.1,0.899,0.559,0.399,0.578,23.2,8.2,2,0.9,0.5,1.4
Jordan Clarkson,Uta,G,55,30.6,0.881,0.485,0.294,0.469,17.1,3.4,5,0.6,0.1,2.7
Deandre Ayton,Por,C,55,32.4,0.823,0.576,0.1,0.571,16.7,11.1,1.6,1,0.8,1.8
Khris Middleton,Mil,F,55,27,0.833,0.563,0.381,0.566,15.1,4.7,5.3,0.9,0.3,2.3
Wendell Carter Jr.,Orl,C,55,25.6,0.694,0.626,0.374,0.6,11,6.9,1.7,0.6,0.5,1.2
Onyeka Okongwu,Atl,F-C,55,25.5,0.793,0.676,0.333,0.642,10.2,6.8,1.3,0.5,1.1,0.8
Kevin Love,Mia,F,55,16.8,0.787,0.643,0.344,0.557,8.8,6.1,2.1,0.3,0.2,0.9
Dereck Lively II,Dal,C,55,23.5,0.506,0.752,0,0.747,8.8,6.9,1.1,0.7,1.4,0.9
Draymond Green,Gol,F,55,27.1,0.73,0.551,0.395,0.566,8.6,7.2,6,1,0.9,2.5
Dante Exum,Dal,G,55,19.8,0.779,0.557,0.491,0.621,7.8,2.7,2.9,0.4,0.1,0.9
John Konchar,Mem,G,55,21.3,0.84,0.568,0.317,0.514,4.3,4.7,2,0.9,0.9,0.8
Oshae Brissett,Bos,F-G,55,11.5,0.602,0.541,0.273,0.493,3.7,2.9,0.8,0.3,0.1,0.4
Trae Young,Atl,G,54,36,0.855,0.479,0.373,0.516,25.7,2.8,10.8,1.3,0.2,4.4
Jerami Grant,Por,F,54,33.9,0.817,0.474,0.402,0.516,21,3.5,2.8,0.8,0.6,2.1
Gary Harris,Orl,G,54,24,0.756,0.598,0.371,0.569,6.9,1.7,1.6,0.9,0.3,0.6
Dean Wade,Cle,F,54,20.5,0.769,0.567,0.391,0.584,5.4,4,0.8,0.7,0.5,0.4
Kessler Edwards,Sac,F,54,5.1,0.556,0.467,0.385,0.537,1.7,0.8,0.3,0.2,0.1,0.1
Bradley Beal,Pho,G,53,33.3,0.813,0.552,0.43,0.582,18.2,4.4,5,1,0.5,2.5
Torrey Craig,Chi,F,53,19.8,0.75,0.49,0.392,0.55,5.7,4.1,1.1,0.6,0.4,0.6
Buddy Hield,Ind,G,52,25.7,0.848,0.575,0.384,0.575,12,3.2,2.7,0.8,0.6,1.2
Vince Williams Jr.,Mem,G,52,27.6,0.8,0.529,0.378,0.55,10,5.6,3.4,0.9,0.7,1.8
Dennis Schroder,Tor,G,51,30.6,0.852,0.501,0.35,0.511,13.7,2.7,6.1,0.9,0.2,1.6
Talen Horton-Tucker,Uta,G,51,19.8,0.807,0.438,0.33,0.46,10.1,2.4,3.5,0.9,0.4,1.3
Ziaire Williams,Mem,F,51,20.3,0.827,0.487,0.307,0.474,8.2,3.5,1.5,0.7,0.2,1.3
Nick Smith Jr.,Cha,G,51,14.3,0.867,0.35,0.432,0.5,5.9,1.4,1.2,0.2,0.1,0.8
Craig Porter,Cle,G,51,12.7,0.732,0.536,0.353,0.535,5.6,2.1,2.3,0.4,0.3,0.9
Ochai Agbaji,Uta,G,51,19.7,0.75,0.551,0.331,0.52,5.4,2.5,0.9,0.5,0.6,0.7
Evan Mobley,Cle,C,50,30.6,0.719,0.604,0.373,0.6,15.7,9.4,3.2,0.9,1.4,1.8
Jakob Poeltl,Tor,C,50,26.4,0.551,0.656,0,0.656,11.1,8.6,2.5,0.7,1.5,1.5
Simone Fontecchio,Uta,F,50,23.2,0.8,0.56,0.391,0.577,8.9,3.5,1.5,0.6,0.4,1
Kelly Olynyk,Uta,F-C,50,20.4,0.842,0.626,0.429,0.632,8.1,5.1,4.4,0.7,0.2,1.6
Christian Wood,Lal,F,50,17.4,0.702,0.587,0.307,0.532,6.9,5.1,1,0.3,0.7,1
Chris Boucher,Tor,F-C,50,14.1,0.772,0.642,0.33,0.578,6.4,4.1,0.5,0.3,0.5,0.6
Jae Crowder,Mil,F,50,23.1,0.722,0.538,0.349,0.53,6.2,3.2,1.3,0.8,0.2,0.5
Julian Strawther,Den,G,50,10.9,0.71,0.488,0.297,0.462,4.5,1.2,0.9,0.3,0.1,0.5
Anthony Gill,Was,F,50,9.3,0.806,0.546,0.244,0.5,3.8,1.9,0.7,0.3,0.2,0.5
Jalen McDaniels,Tor,F-C,50,10.8,0.73,0.449,0.169,0.376,3.4,1.6,0.7,0.4,0.1,0.6
Johnny Davis,Was,G,50,12.3,0.583,0.421,0.35,0.448,3,1.4,0.6,0.4,0.2,0.3
Precious Achiuwa,Nyk,F,49,24.2,0.643,0.578,0.26,0.547,7.6,7.2,1.1,0.6,1.1,1.1
Royce O'Neale,Bro,F,49,24.5,0.682,0.483,0.366,0.537,7.4,4.5,2.8,0.7,0.6,1
Tristan Thompson,Cle,C-F,49,11.2,0.288,0.619,0,0.613,3.3,3.6,1,0.2,0.3,0.6
GG Jackson,Mem,F,48,25.7,0.752,0.502,0.357,0.519,14.6,4.1,1.2,0.6,0.5,1.4
Spencer Dinwiddie,Bro,G,48,30.7,0.781,0.48,0.32,0.48,12.6,3.3,6,0.8,0.2,1.3
David Roddy,Mem,F,48,23.2,0.687,0.47,0.301,0.462,8.4,4.2,1.6,0.5,0.2,1.1
Cam Reddish,Lal,F-G,48,20.5,0.759,0.435,0.336,0.468,5.4,2.1,1,1,0.3,0.6
Omer Yurtseven,Uta,C,48,11.4,0.679,0.588,0.208,0.552,4.6,4.3,0.6,0.2,0.4,0.8
MarJon Beauchamp,Mil,F,48,12.7,0.679,0.56,0.4,0.578,4.4,2.1,0.6,0.3,0.1,0.6
Alex Len,Sac,C,48,9.3,0.588,0.641,0,0.617,2.5,2.7,1,0.2,0.7,0.6
Cam Whitmore,Hou,F,47,18.7,0.679,0.538,0.359,0.539,12.3,3.8,0.7,0.6,0.4,1
Grant Williams,Dal,F,47,26.4,0.745,0.486,0.376,0.538,8.1,3.6,1.7,0.5,0.6,1.1
Patrick Beverley,Phi,G,47,19.6,0.81,0.523,0.321,0.504,6.3,3.1,3.1,0.5,0.4,1
Cameron Payne,Mil,G,47,14.9,0.841,0.538,0.397,0.572,6.2,1.3,2.3,0.5,0.1,0.7
Chuma Okeke,Orl,F,47,9.2,0.571,0.567,0.28,0.46,2.3,1.7,0.4,0.2,0.1,0.3
Julius Randle,Nyk,F,46,35.4,0.781,0.539,0.311,0.518,24,9.2,5,0.5,0.3,3.5
Anfernee Simons,Por,G,46,34.4,0.916,0.472,0.385,0.523,22.6,3.6,5.5,0.5,0.1,2.7
Isaiah Stewart,Det,F,46,30.9,0.753,0.575,0.383,0.575,10.9,6.6,1.6,0.4,0.8,1.4
Nikola Jovic,Mia,F,46,19.5,0.702,0.525,0.399,0.568,7.7,4.2,2,0.5,0.3,0.9
Landry Shamet,Was,G,46,15.8,0.826,0.556,0.338,0.527,7.1,1.3,1.2,0.5,0.2,0.7
Doug McDermott,San,F,46,15.2,0.588,0.452,0.439,0.619,6,1,1.2,0.2,0,0.5
Mason Plumlee,Lac,F-C,46,14.7,0.707,0.592,0,0.569,5.3,5.1,1.2,0.3,0.4,0.8
Sandro Mamukelashvili,San,F-C,46,9.8,0.735,0.6,0.297,0.536,4.1,3.2,1.1,0.2,0.3,0.4
JaVale McGee,Sac,C-F,46,7.4,0.578,0.624,0.143,0.602,4,2.7,0.4,0.3,0.4,0.7
Daniel Gafford,Was,C,45,26.5,0.706,0.69,0,0.69,10.9,8,1.5,1,2.2,1
Quentin Grimes,Nyk,G,45,20.2,0.706,0.486,0.363,0.53,7.3,2,1.2,0.7,0.1,0.5
Bruno Fernando,Atl,F-C,45,15.2,0.667,0.596,0,0.583,6.3,4.3,1,0.6,0.6,1
Nassir Little,Pho,F-G,45,10.2,0.85,0.667,0.3,0.544,3.4,1.7,0.5,0.2,0.2,0.3
Jericho Sims,Nyk,C,45,13,0.667,0.691,0,0.691,2,3.3,0.6,0.2,0.4,0.4
P.J. Washington,Cha,F,44,29.2,0.713,0.558,0.324,0.524,13.6,5.3,2.2,0.9,0.7,1.5
Gary Payton II,Gol,G,44,15.5,0.609,0.648,0.364,0.617,5.5,2.6,1.1,0.9,0.4,0.6
Reggie Bullock Jr.,Hou,G-F,44,9.5,1,0.467,0.403,0.579,2.2,1.7,0.3,0.3,0.1,0.2
Kobe Brown,Lac,F,44,9,0.5,0.548,0.292,0.489,2,1.4,0.6,0.3,0.1,0.2
Alec Burks,Det,G,43,20.9,0.903,0.384,0.401,0.516,12.6,2.6,1.6,0.5,0.3,0.7
Patrick Williams,Chi,F,43,27.3,0.788,0.474,0.399,0.525,10,3.9,1.5,0.9,0.8,1.3
Josh Richardson,Mia,G,43,25.6,0.944,0.561,0.347,0.539,9.9,2.8,2.4,0.6,0.3,0.8
Markelle Fultz,Orl,G,43,21.2,0.697,0.487,0.222,0.479,7.8,3.2,2.8,1,0.3,1.2
Bol Bol,Pho,C-F,43,10.9,0.789,0.717,0.423,0.689,5.2,3.2,0.4,0.2,0.6,0.4
Jalen Wilson,Bro,F,43,15.4,0.826,0.495,0.324,0.492,5,3,1,0.3,0.1,0.4
Eugene Omoruyi,Was,F,43,9.1,0.653,0.562,0.283,0.524,4.8,2,0.8,0.6,0.1,0.5
Maxi Kleber,Dal,C,43,20.3,0.702,0.574,0.348,0.541,4.4,3.3,1.6,0.4,0.7,0.7
Luka Samanic,Uta,F,43,9.4,0.786,0.5,0.203,0.421,4.1,2.4,0.4,0.1,0.2,0.7
Ish Smith,Cha,G,43,17.2,0.75,0.413,0.5,0.43,3.2,1.8,3.4,0.4,0.1,1.1
Cody Zeller,Nor,F-C,43,7.4,0.605,0.424,0.333,0.427,1.8,2.6,0.9,0.2,0.1,0.4
Desmond Bane,Mem,G,42,34.4,0.87,0.536,0.381,0.552,23.7,4.4,5.5,1,0.5,2.7
Tyler Herro,Mia,G,42,33.5,0.856,0.478,0.396,0.531,20.8,5.3,4.5,0.7,0.1,2.2
Killian Hayes,Det,G,42,24,0.66,0.455,0.297,0.452,6.9,2.8,4.9,0.9,0.5,1.2
Sasha Vezenkov,Sac,F,42,12.2,0.8,0.549,0.375,0.558,5.4,2.3,0.5,0.5,0.2,0.3
A.J. Lawson,Dal,G,42,7.4,0.652,0.577,0.26,0.5,3.2,1.2,0.5,0.2,0.1,0.3
Pascal Siakam,Ind,F,41,31.8,0.699,0.58,0.386,0.579,21.3,7.8,3.7,0.8,0.4,1.4
Svi Mykhailiuk,Bos,G-F,41,10.1,0.667,0.517,0.389,0.569,4,1.2,0.9,0.3,0,0.3
Taylor Hendricks,Uta,F,40,21.4,0.793,0.55,0.379,0.56,7.3,4.6,0.8,0.7,0.8,0.7
Jared Butler,Was,G,40,14.1,0.861,0.602,0.308,0.547,6.3,1.5,3.2,0.7,0.2,1.3
Jordan Goodwin,Pho,G,40,14,0.862,0.46,0.288,0.448,5,2.9,2,0.6,0.2,0.7
Olivier-Maxence Prosper,Dal,F,40,8.4,0.683,0.458,0.289,0.447,3,2,0.6,0.2,0.1,0.2
Julian Phillips,Chi,F,40,8.1,0.684,0.513,0.316,0.494,2.2,0.9,0.3,0.2,0.2,0.3
Joel Embiid,Phi,C,39,33.6,0.883,0.556,0.388,0.561,34.7,11,5.6,1.2,1.7,3.8
Pascal Siakam,Tor,F,39,34.7,0.758,0.584,0.317,0.559,22.2,6.3,4.8,0.8,0.3,2.1
Malcolm Brogdon,Por,G,39,28.7,0.819,0.458,0.412,0.522,15.7,3.8,5.5,0.7,0.2,1.5
Luke Kennard,Mem,G,39,25.6,0.889,0.442,0.45,0.617,11,2.9,3.5,0.5,0.1,1.4
Keita Bates-Diop,Pho,F,39,15.3,0.722,0.512,0.313,0.493,4.5,2.6,0.9,0.6,0.5,0.3
Rayan Rupert,Por,G-F,39,16.2,0.76,0.313,0.359,0.422,4,2.4,1.6,0.3,0.1,0.8
Jeremiah Robinson-Earl,Nor,F,39,8.6,0.75,0.571,0.333,0.542,2.9,1.9,0.5,0.3,0.1,0.4
Damian Jones,Cle,C,39,6.9,0.857,0.69,0.214,0.618,2.7,1.6,0.4,0.2,0.3,0.3
Immanuel Quickley,Tor,G,38,33.3,0.841,0.448,0.395,0.518,18.6,4.8,6.8,0.9,0.2,1.8
De'Anthony Melton,Phi,G,38,26.9,0.835,0.425,0.36,0.493,11.1,3.7,3,1.6,0.4,1
Thomas Bryant,Mia,C-F,38,11.6,0.872,0.646,0.182,0.591,5.7,3.7,0.6,0.3,0.4,0.6
Shake Milton,Min,G-F,38,12.9,0.818,0.467,0.264,0.444,4.7,1.3,1.3,0.4,0.1,0.7
Patrick Baldwin,Was,F,38,13,0.69,0.483,0.32,0.481,4.4,3.2,0.8,0.5,0.4,0.5
Lindy Waters III,Okc,F,38,7.4,1,0.632,0.435,0.649,3.6,1.1,0.6,0.1,0.2,0.2
Trent Forrest,Atl,G,38,10.9,0.765,0.4,0.2,0.389,2.2,1.3,2.4,0.3,0.1,0.5
Kyle Lowry,Mia,G,37,28,0.833,0.506,0.385,0.554,8.2,3.5,4,1.1,0.4,1.4
Bones Hyland,Lac,G,37,14.6,0.783,0.457,0.326,0.474,6.9,1.5,2.5,0.7,0.1,1.2
Marcus Morris Sr.,Phi,F,37,17.2,0.861,0.47,0.4,0.527,6.7,2.9,0.7,0.4,0.3,0.5
Chimezie Metu,Pho,F-C,37,12.1,0.884,0.646,0.294,0.565,5,3,0.5,0.5,0.2,0.7
Jacob Gilyard,Mem,G,37,17.7,1,0.375,0.425,0.594,4.7,1.2,3.5,0.7,0.1,0.8
Lester Quinones,Gol,G,37,10.7,0.69,0.453,0.364,0.511,4.4,1.9,1,0.2,0.1,0.5
Troy Brown Jr.,Min,G-F,37,11.1,0.864,0.618,0.369,0.572,4.2,1.9,0.9,0.2,0.1,0.5
Seth Curry,Dal,G,36,12.7,0.895,0.385,0.363,0.472,4.3,1.4,0.8,0.5,0.1,0.4
DeAndre Jordan,Den,C,36,11,0.491,0.624,0,0.624,3.9,4.4,0.7,0.2,0.4,0.6
Wesley Matthews,Atl,G,36,11.5,0.75,0.357,0.348,0.474,3.1,1.5,0.6,0.4,0.3,0.2
Orlando Robinson,Mia,C,36,8.4,0.76,0.491,0.533,0.556,2.8,2.3,0.9,0.2,0.2,0.5
Jake LaRavia,Mem,F,35,23,0.826,0.442,0.34,0.477,10.8,3.7,1.7,0.8,0.3,1.3
Furkan Korkmaz,Phi,G-F,35,8.6,0.7,0.444,0.35,0.487,2.5,0.9,0.7,0.4,0.1,0.3
Bruce Brown,Tor,G-F,34,26,0.833,0.532,0.317,0.519,9.6,3.8,2.7,0.7,0.3,1.3
Jordan Nwora,Tor,F,34,15.6,0.833,0.557,0.347,0.541,7.9,3.4,1.3,0.6,0.4,1.2
Xavier Tillman,Mem,C,34,20.6,0.419,0.469,0.226,0.437,6,4.6,1.7,1.2,1,0.9
Danuel House Jr.,Phi,F-G,34,15,0.761,0.582,0.3,0.519,4.2,1.7,0.8,0.4,0.1,0.6
Justin Minaya,Por,F,34,11.2,0.556,0.4,0.245,0.378,1.8,1.6,0.6,0.3,0.3,0.3
Thanasis Antetokounmpo,Mil,F,34,4.6,0,0.552,0,0.533,0.9,0.4,0.5,0.2,0.1,0.4
Maxwell Lewis,Lal,F,34,3,0.667,0.25,0.111,0.214,0.3,0.1,0.2,0.1,0,0.3
Bruce Brown,Ind,G,33,29.7,0.817,0.545,0.327,0.527,12.1,4.7,3,1.1,0.2,1.2
Dominick Barlow,San,F,33,12.7,0.69,0.51,0.333,0.509,4.4,3.4,1.1,0.4,0.4,0.3
Delon Wright,Was,G,33,13.8,0.828,0.405,0.368,0.451,4.1,1.8,2.5,1.1,0.2,0.3
Ousmane Dieng,Okc,F,33,11.1,0.875,0.609,0.3,0.513,4,1.5,1.1,0.2,0.2,0.6
Jarace Walker,Ind,F,33,10.3,0.889,0.418,0.4,0.509,3.6,1.9,1.2,0.5,0.3,0.5
RJ Barrett,Tor,F,32,33.5,0.629,0.603,0.392,0.599,21.8,6.4,4.1,0.6,0.4,2.5
Shaedon Sharpe,Por,G,32,33.1,0.824,0.457,0.333,0.475,15.9,5,2.9,0.9,0.4,2.3
Buddy Hield,Phi,G,32,25.8,0.923,0.492,0.389,0.55,12.2,3.2,3,0.8,0.3,1.3
Brice Sensabaugh,Uta,F,32,18.3,0.902,0.495,0.296,0.468,7.5,3.2,1.7,0.4,0.2,1.5
Ricky Council IV,Phi,G,32,9,0.746,0.525,0.375,0.536,5.4,1.4,0.5,0.3,0,0.2
Brandon Boston Jr.,Lac,G,32,10.8,0.697,0.468,0.269,0.447,5.2,1.6,0.4,0.3,0.3,0.8
Jaden Springer,Phi,G,32,11.8,0.824,0.469,0.216,0.424,4,1.8,1.1,0.8,0.3,0.8
Josh Minott,Min,F,32,2.9,0.857,0.5,0.4,0.528,1.6,0.5,0.3,0.2,0.1,0.1
Terry Rozier,Mia,G,31,31.5,0.913,0.458,0.371,0.497,16.4,4.2,4.6,1,0.3,1.3
Cameron Payne,Phi,G,31,19.4,0.913,0.447,0.382,0.514,9.3,1.8,3.1,0.6,0.3,1.1
Kevin Knox II,Det,F,31,18.1,0.909,0.598,0.33,0.546,7.2,2.4,0.7,0.4,0.2,0.7
Mitchell Robinson,Nyk,C,31,24.8,0.409,0.575,0,0.575,5.6,8.5,0.6,1.2,1.1,0.8
Malachi Flynn,Tor,G,31,15.3,0.773,0.491,0.35,0.511,5.1,2.1,2.4,0.6,0.2,1.1
Terry Taylor,Chi,F,31,6.1,0.8,0.6,0.222,0.538,1.5,1.2,0.3,0.2,0.1,0.2
Terry Rozier,Cha,G,30,35.5,0.845,0.533,0.358,0.535,23.2,3.9,6.6,1.1,0.4,2.2
Dalano Banton,Por,F,30,29.2,0.78,0.474,0.311,0.471,16.7,4.8,3.6,0.9,0.6,2.2
Immanuel Quickley,Nyk,G,30,24,0.872,0.509,0.395,0.549,15,2.6,2.5,0.5,0.1,1
Vasilije Micic,Cha,G,30,27.2,0.839,0.529,0.294,0.495,10.8,2.1,6.2,0.7,0.1,2.3
Royce O'Neale,Pho,F,30,25.1,0.692,0.509,0.376,0.549,8.1,5.2,2.7,0.9,0.5,0.7
Bismack Biyombo,Mem,C,30,23.9,0.478,0.563,0,0.563,5.2,6.4,1.7,0.3,1.1,1.3
Vasilije Micic,Okc,G,30,12,0.737,0.565,0.244,0.467,3.3,0.8,2.5,0.3,0.1,1
Colby Jones,Sac,G,30,6.4,0.545,0.531,0.091,0.408,2.1,1.3,0.7,0.2,0.2,0.3
Dennis Schroder,Bro,G,29,32,0.797,0.432,0.412,0.507,14.6,3.5,6,0.6,0.3,2.4
Grant Williams,Cha,F,29,30.6,0.765,0.605,0.373,0.585,13.9,5.1,3.2,0.7,0.4,1.9
P.J. Washington,Dal,F,29,32.2,0.627,0.556,0.314,0.508,11.7,6.2,1.5,1.2,0.9,1
Daniel Gafford,Dal,F-C,29,21.5,0.607,0.78,0,0.78,11.2,6.9,1.6,0.7,1.9,1
Bojan Bogdanovic,Nyk,F,29,19.2,0.8,0.488,0.37,0.521,10.4,2,0.9,0.2,0,1.3
Evan Fournier,Det,G-F,29,18.7,0.794,0.512,0.27,0.45,7.2,1.9,1.6,0.9,0.2,0.7
Jarred Vanderbilt,Lal,F,29,20,0.667,0.586,0.296,0.553,5.2,4.8,1.2,1.2,0.2,1
Yuta Watanabe,Pho,G-F,29,13.2,0.667,0.5,0.32,0.485,3.6,1.5,0.3,0.3,0.2,0.6
Bojan Bogdanovic,Det,F,28,32.9,0.779,0.518,0.415,0.569,20.2,3.4,2.5,0.8,0.1,2.3
Kelly Olynyk,Tor,F-C,28,26.4,0.824,0.637,0.338,0.598,12.7,5.6,4.6,1.3,0.6,2.5
Tre Mann,Cha,G,28,31,0.759,0.509,0.364,0.524,11.9,4.5,5.2,1.7,0.1,2
Davis Bertans,Cha,F,28,20.8,0.889,0.5,0.375,0.553,8.8,1.8,0.9,0.8,0.3,0.6
Cody Martin,Cha,F,28,26.9,0.606,0.426,0.314,0.444,7.5,3.9,3.7,1.1,0.6,1.6
Spencer Dinwiddie,Lal,G,28,24.2,0.88,0.412,0.389,0.521,6.8,1.7,2.4,0.5,0.5,1
Neemias Queta,Bos,C,28,11.9,0.714,0.644,0,0.644,5.5,4.4,0.7,0.5,0.8,0.5
Matt Ryan,Nor,F,28,13.9,0.929,0.364,0.451,0.615,5.4,1.4,0.6,0.2,0,0.7
P.J. Tucker,Lac,F,28,15,1,0.333,0.367,0.478,1.6,2.5,0.6,0.5,0.2,0.2
OG Anunoby,Tor,F,27,33.3,0.717,0.608,0.374,0.584,15.1,4,2.7,1,0.5,1.6
Ochai Agbaji,Tor,G,27,23.6,0.611,0.496,0.217,0.432,6.7,3.3,1.3,0.7,0.6,1.1
Monte Morris,Min,G,27,15.1,0.706,0.41,0.424,0.521,5.1,1.7,2.3,0.7,0.3,0.2
Garrett Temple,Tor,G-F,27,10.7,0.818,0.447,0.3,0.449,3.3,1.7,1,0.4,0.1,0.5
Jalen Pickett,Den,G,27,4.5,0.75,0.6,0.36,0.557,1.6,0.5,0.8,0.1,0,0.3
RJ Barrett,Nyk,F,26,29.5,0.831,0.469,0.331,0.478,18.2,4.3,2.4,0.5,0.3,1.8
Marvin Bagley III,Det,F,26,18.4,0.82,0.606,0.167,0.594,10.2,4.5,1,0.2,0.5,1.1
Danilo Gallinari,Was,F,26,14.8,0.839,0.552,0.313,0.511,7,2.9,1.2,0.2,0.1,0.5
Patrick Beverley,Mil,G,26,20.9,0.852,0.424,0.361,0.486,6,3.6,2.6,0.7,0.5,0.6
Gordon Hayward,Okc,F,26,17.2,0.692,0.429,0.517,0.524,5.3,2.5,1.6,0.5,0,0.6
Robert Covington,Phi,F,26,16.1,0.875,0.561,0.354,0.545,4.5,3.4,0.7,1.3,0.6,0.4
Jontay Porter,Tor,C-F,26,13.8,0.833,0.455,0.333,0.481,4.4,3.2,2.3,0.8,0.8,0.8
Jamal Cain,Mia,F,26,10,0.783,0.479,0.355,0.5,3.7,1.4,0.4,0.4,0.2,0.3
Leaky Black,Cha,F,26,10.9,0.667,0.5,0.45,0.567,2.7,1.8,0.9,0.3,0.4,0.2
Markieff Morris,Dal,F,26,8.3,0.833,0.308,0.357,0.449,2.5,1.5,0.6,0.2,0.1,0.5
Cory Joseph,Gol,G,26,11.4,0.571,0.455,0.31,0.461,2.4,1.2,1.6,0.2,0.1,0.5
Zach LaVine,Chi,G,25,34.9,0.854,0.536,0.349,0.531,19.5,5.1,3.9,0.8,0.3,2.1
